FROM,n,top_register
hkm.hr,56,institution
slobodnadalmacija.hr,17,cost_relig_life
novilist.hr,16,cost_relig_life
24sata.hr,12,cost_relig_life
jutarnji.hr,11,cost_relig_life
vecernji.hr,10,cost_relig_life
direktno.hr,10,institution
zagreb.info,10,institution
dnevnik.hr,9,cost_relig_life
net.hr,9,cost_relig_life
index.hr,8,cost_relig_life
infokiosk.net,8,cost_relig_life
glas-slavonije.hr,8,institution
czn.hr,7,charity
dnevno.hr,7,cost_relig_life
glasistre.hr,6,cost_relig_life
hrt.hr,6,charity
narod.hr,6,institution
034portal.hr,6,institution
dalmatinskiportal.hr,6,cost_relig_life
zagorje.com,6,charity
novosti.hr,6,cost_relig_life
laudato.hr,5,charity
prigorski.hr,5,charity
mirovina.hr,5,cost_relig_life
suh.hr,5,devotional
pozeski.hr,5,institution
dalmacijadanas.hr,5,cost_relig_life
banjaluka24.media,5,cost_relig_life
totalinfo.hr,5,cost_relig_life
autograf.hr,5,justice
djos.hr,4,institution
novizivot.net,4,cost_relig_life
hrv.hr,4,charity
tportal.hr,4,cost_relig_life
mojevrijeme.hr,4,cost_relig_life
nacional.hr,4,cost_relig_life
zagorje-international.hr,4,cost_relig_life
glas.hr,4,institution
telegram.hr,4,cost_relig_life
035portal.hr,4,cost_relig_life
plusportal.hr,4,cost_relig_life
ljubuski.net,4,cost_relig_life
caritas.hr,4,charity
zg-nadbiskupija.hr,3,institution
stv.hr,3,justice
promise.hr,3,charity
croatia,3,institution
brodportal.hr,3,cost_relig_life
varazdinske-vijesti.hr,3,cost_relig_life
teleskop.hr,3,charity
pozega.eu,3,institution
antenazadar.hr,3,cost_relig_life
danica.hr,3,cost_relig_life
sibenik.in,3,charity
medjimurski.hr,3,institution
zadarskilist.hr,3,cost_relig_life
podravski.hr,3,cost_relig_life
dulist.hr,3,institution
023.hr,3,cost_relig_life
bitno.net,3,charity
crovijesti.com,3,cost_relig_life
kalelargainfo.hr,3,institution
braniteljski-portal.com,2,charity
grabancijas.com,2,institution
hrvatska-danas.com,2,institution
poslovni.hr,2,charity
7dnevno.hr,2,cost_relig_life
otvoreno.hr,2,charity
kamenjar.com,2,cost_relig_life
01portal.hr,2,institution
sibenskiportal.hr,2,cost_relig_life
bjelovar.live,2,cost_relig_life
n1info.hr,2,cost_relig_life
jaskadanas.hr,2,institution
liberoportal.hr,2,cost_relig_life
glasgrada.hr,2,cost_relig_life
dubrovnikinsider.hr,2,charity
leportale.com,2,cost_relig_life
likaclub.eu,2,cost_relig_life
osijekexpress.com,2,cost_relig_life
valpovstina.info,2,cost_relig_life
znet.hr,2,institution
centarzlata.com,2,disputed
glaspodravine.hr,1,institution
nacionalno.hr,1,charity
siscia.hr,1,charity
portal53.hr,1,charity
mediaservis.hr,1,devotional
trecadobhrvatska.com,1,devotional
osijek-danas.com,1,institution
radio-djakovo.hr,1,institution
novi-radio.hr,1,institution
in-portal.hr,1,charity
sisak.info,1,charity
quirinusportal.com,1,charity
sisakportal.hr,1,charity
044portal.hr,1,charity
lika-online.com,1,institution
zgexpress.net,1,institution
maxportal.hr,1,institution
zagreb.hr,1,institution
zg-magazin.com.hr,1,institution
politikaplus.com,1,institution
redovnistvo.hr,1,charity
novine.hr,1,charity
pozeska-kronika.hr,1,institution
pozega.hr,1,institution
muralist.hr,1,institution
ssmi.hr,1,institution
mok.hr,1,institution
rtl.hr,1,institution
fiuman.hr,1,cost_relig_life
istra24.hr,1,cost_relig_life
rijekadanas.com,1,cost_relig_life
tris.com.hr,1,cost_relig_life
Drago Pilsel,1,institution
panopticum.hr,1,cost_relig_life
youtube.com,1,institution
vgdanas.hr,1,institution
serdarusic.com,1,justice
mka.hr,1,institution
sabh.hr,1,cost_relig_life
novagra.hr,1,institution
grazia.hr,1,institution
studentski.hr,1,institution
slavonijainfo.com,1,cost_relig_life
hkv.hr,1,devotional
biskupija-varazdinska.hr,1,charity
priznajem.hr,1,cost_relig_life
zupcica.hr,1,institution
morski.hr,1,institution
zupa-svkriz.hr,1,institution
gspress.net,1,cost_relig_life
tomislavcity.com,1,cost_relig_life
mega-media.hr,1,cost_relig_life
moje-djakovo.com,1,institution
regionalni.com,1,cost_relig_life
radio-rama.info,1,cost_relig_life
drava.info,1,cost_relig_life
sbonline.net,1,cost_relig_life
mnovine.hr,1,cost_relig_life
glasgacke.hr,1,cost_relig_life
kucice.hr,1,cost_relig_life
Bitno.net,1,charity
Zagreb.info,1,charity
glas-koncila.hr,1,justice
Moto_Couple,1,disputed
dubrovniknet.hr,1,institution
shromsa @ r/hrvatska,1,disputed
plavakamenica.hr,1,cost_relig_life
seebiz.eu,1,charity
zadarskitjednik.hr,1,institution
NewsBar,1,institution
Miletić Marin,1,justice
press032.com,1,cost_relig_life
Baranja info,1,cost_relig_life
sjeverni.info,1,cost_relig_life
Slobodna Dalmacija,1,cost_relig_life
Šibenski.hr,1,cost_relig_life
radiomarija.hr,1,institution
Glas Slavonije,1,cost_relig_life
DNEVNIK.hr,1,cost_relig_life
vinkulja.hr,1,cost_relig_life
scena.ba,1,cost_relig_life
NoFutureIn21Century @ r/askcroatia,1,cost_relig_life
Novi list,1,cost_relig_life
Zagorje.com,1,cost_relig_life
